"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades"
"TATAMOTORS","EQ","14-Sep-2015","        344.60","        348.90","        350.90","        342.25","        345.95","        346.80","        347.60","    5480940","          1905158897.00","      67027"
"TATAMOTORS","EQ","15-Sep-2015","        346.80","        345.95","        345.95","        333.05","        334.35","        334.10","        337.90","    5802405","          1960624036.40","      74753"
"TATAMOTORS","EQ","16-Sep-2015","        334.10","        337.70","        340.40","        332.50","        337.30","        338.05","        337.41","    5708786","          1926223090.75","      66243"
"TATAMOTORS","EQ","18-Sep-2015","        338.05","        329.20","        333.80","        326.85","        332.35","        330.25","        330.35","   14893326","          4919961733.85","     133412"
"TATAMOTORS","EQ","21-Sep-2015","        330.25","        326.85","        334.90","        325.65","        331.65","        331.70","        331.86","    5172386","          1716501737.85","      77445"
"TATAMOTORS","EQ","22-Sep-2015","        331.70","        332.00","        333.60","        314.00","        315.00","        315.80","        323.55","    7122834","          2304610756.75","      92657"
"TATAMOTORS","EQ","23-Sep-2015","        315.80","        311.00","        312.55","        306.25","        310.20","        310.30","        310.12","    8954516","          2776975126.80","     137050"
"TATAMOTORS","EQ","24-Sep-2015","        310.30","        309.70","        312.00","        301.60","        302.45","        303.40","        305.45","   13799813","          4215117588.55","     125506"
"TATAMOTORS","EQ","28-Sep-2015","        303.40","        304.40","        304.40","        283.50","        284.65","        285.00","        291.97","   13577316","          3964105759.50","     166699"
"TATAMOTORS","EQ","29-Sep-2015","        285.00","        281.20","        294.80","        279.10","        288.05","        288.75","        285.84","   12304403","          3517094968.35","     167211"
"TATAMOTORS","EQ","30-Sep-2015","        288.75","        289.25","        299.75","        288.10","        298.00","        298.60","        295.81","   12926187","          3823731279.30","     150933"
"TATAMOTORS","EQ","01-Oct-2015","        298.60","        301.45","        301.50","        291.50","        296.30","        297.75","        295.81","    7501080","          2218889102.95","     121550"
"TATAMOTORS","EQ","05-Oct-2015","        297.75","        302.50","        322.10","        302.50","        315.00","        315.15","        315.82","   14527820","          4588143033.15","     197253"
"TATAMOTORS","EQ","06-Oct-2015","        315.15","        320.55","        334.70","        319.55","        333.25","        333.70","        328.76","   18806867","          6183037486.25","     185755"
"TATAMOTORS","EQ","07-Oct-2015","        333.70","        333.90","        345.00","        329.00","        342.80","        341.35","        340.27","   17802539","          6057653162.85","     178106"
"TATAMOTORS","EQ","08-Oct-2015","        341.35","        343.80","        347.30","        341.55","        343.70","        343.25","        343.86","   12085332","          4155718928.20","     149936"
"TATAMOTORS","EQ","09-Oct-2015","        343.25","        346.20","        359.20","        341.10","        358.25","        356.45","        350.37","   11635790","          4076865694.20","     134386"
"TATAMOTORS","EQ","12-Oct-2015","        356.45","        356.50","        367.00","        356.40","        363.85","        362.35","        363.06","   10509775","          3815648496.10","     108852"
"TATAMOTORS","EQ","13-Oct-2015","        362.35","        360.00","        365.25","        355.05","        361.50","        361.10","        359.86","    9969583","          3587678690.35","     100872"
"TATAMOTORS","EQ","14-Oct-2015","        361.10","        358.75","        360.25","        351.10","        353.55","        352.30","        354.94","    7009418","          2487928242.25","      83779"
"TATAMOTORS","EQ","15-Oct-2015","        352.30","        355.30","        383.75","        355.30","        380.00","        381.30","        374.29","   19487376","          7293949153.40","     197463"
"TATAMOTORS","EQ","16-Oct-2015","        381.30","        388.60","        390.95","        380.65","        386.75","        386.20","        386.00","   16497652","          6368044969.85","     151307"
"TATAMOTORS","EQ","19-Oct-2015","        386.20","        384.00","        384.00","        376.25","        378.85","        378.70","        379.37","    7455714","          2828439065.70","      87246"
"TATAMOTORS","EQ","20-Oct-2015","        378.70","        379.00","        395.75","        377.40","        382.25","        383.15","        388.06","   15426131","          5986314459.55","     133400"
"TATAMOTORS","EQ","21-Oct-2015","        383.15","        379.95","        386.40","        378.55","        380.90","        381.45","        382.70","    8720671","          3337432024.70","      78688"
"TATAMOTORS","EQ","23-Oct-2015","        381.45","        383.90","        388.80","        382.00","        382.60","        383.00","        384.83","    6744440","          2595463672.95","      66641"
"TATAMOTORS","EQ","26-Oct-2015","        383.00","        386.45","        389.90","        383.25","        384.05","        384.60","        385.88","    5064657","          1954346793.40","      86651"
"TATAMOTORS","EQ","27-Oct-2015","        384.60","        383.00","        386.95","        382.20","        383.60","        383.35","        384.64","    4423221","          1701338805.90","      48050"
"TATAMOTORS","EQ","28-Oct-2015","        383.35","        382.80","        390.75","        382.20","        387.00","        386.30","        385.79","    8018683","          3093490877.50","      66362"
"TATAMOTORS","EQ","29-Oct-2015","        386.30","        388.95","        396.80","        384.25","        388.40","        391.20","        391.76","   15381516","          6025849686.00","     122945"
"TATAMOTORS","EQ","30-Oct-2015","        391.20","        389.75","        390.80","        383.50","        384.80","        384.95","        386.86","    6651831","          2573297160.60","      63761"
"TATAMOTORS","EQ","02-Nov-2015","        384.95","        386.10","        392.05","        384.40","        388.50","        387.95","        389.37","    7511675","          2924834938.85","      67183"
"TATAMOTORS","EQ","03-Nov-2015","        387.95","        391.25","        391.25","        380.80","        382.30","        382.05","        385.08","    5887746","          2267226112.45","     102547"
"TATAMOTORS","EQ","04-Nov-2015","        382.05","        390.05","        407.25","        390.05","        406.60","        404.85","        403.13","   13985828","          5638163558.85","     186069"
"TATAMOTORS","EQ","05-Nov-2015","        404.85","        403.60","        412.80","        401.45","        404.00","        404.00","        406.92","   12912937","          5254484996.00","     116398"
"TATAMOTORS","EQ","06-Nov-2015","        404.00","        399.90","        404.40","        392.50","        394.15","        396.15","        398.31","   11016134","          4387889950.95","     214285"
"TATAMOTORS","EQ","09-Nov-2015","        396.15","        374.00","        413.50","        373.05","        412.00","        411.75","        402.34","   22128119","          8903014580.05","     238949"
"TATAMOTORS","EQ","10-Nov-2015","        411.75","        408.00","        417.40","        402.70","        405.50","        407.45","        412.22","   12654616","          5216456607.00","     141129"
"TATAMOTORS","EQ","11-Nov-2015","        407.45","        408.75","        414.00","        408.05","        411.25","        411.30","        411.48","    1164924","           479338278.25","      14197"
"TATAMOTORS","EQ","13-Nov-2015","        411.30","        411.35","        417.50","        401.80","        403.65","        403.95","        407.25","   11007237","          4482658200.00","     115758"
"TATAMOTORS","EQ","16-Nov-2015","        403.95","        401.00","        404.85","        394.20","        399.75","        400.25","        399.33","    7673487","          3064245433.75","      98741"
"TATAMOTORS","EQ","17-Nov-2015","        400.25","        403.00","        410.70","        398.55","        408.00","        407.50","        405.61","    6063987","          2459619830.45","      67726"
"TATAMOTORS","EQ","18-Nov-2015","        407.50","        407.95","        413.50","        403.25","        406.30","        406.25","        409.05","    6960097","          2847025895.35","      80558"
"TATAMOTORS","EQ","19-Nov-2015","        406.25","        409.90","        409.90","        403.50","        407.30","        406.95","        407.09","    5645524","          2298254655.95","      59726"
"TATAMOTORS","EQ","20-Nov-2015","        406.95","        408.50","        410.70","        401.35","        404.25","        402.85","        406.04","    5420173","          2200801013.60","      77221"
"TATAMOTORS","EQ","23-Nov-2015","        402.85","        400.35","        404.40","        396.50","        402.50","        402.10","        400.89","    4658448","          1867519457.45","      79143"
"TATAMOTORS","EQ","24-Nov-2015","        402.10","        399.10","        406.50","        397.05","        401.90","        400.95","        401.13","    5624579","          2256203484.30","      63248"
"TATAMOTORS","EQ","26-Nov-2015","        400.95","        404.75","        426.45","        404.00","        422.00","        424.40","        417.36","   15070353","          6289812299.15","     158456"
"TATAMOTORS","EQ","27-Nov-2015","        424.40","        425.55","        431.90","        416.45","        418.00","        417.65","        424.73","    9720127","          4128419248.65","     135398"
"TATAMOTORS","EQ","30-Nov-2015","        417.65","        419.90","        429.60","        418.00","        423.50","        423.25","        424.46","    9901753","          4202924953.70","      96546"
"TATAMOTORS","EQ","01-Dec-2015","        423.25","        427.00","        427.00","        416.10","        418.00","        417.35","        420.43","    6402692","          2691864633.90","      75878"
"TATAMOTORS","EQ","02-Dec-2015","        417.35","        415.90","        418.90","        410.30","        411.55","        413.15","        415.22","    6543300","          2716922774.85","      77112"
"TATAMOTORS","EQ","03-Dec-2015","        413.15","        408.70","        411.90","        404.25","        406.00","        405.60","        407.37","    5999323","          2443953153.90","      93015"
"TATAMOTORS","EQ","04-Dec-2015","        405.60","        402.50","        411.50","        398.70","        400.70","        399.95","        404.69","    8477407","          3430720147.75","     115514"
"TATAMOTORS","EQ","07-Dec-2015","        399.95","        402.90","        403.00","        395.30","        398.20","        399.15","        398.79","    6156323","          2455080932.50","      95948"
"TATAMOTORS","EQ","08-Dec-2015","        399.15","        396.95","        406.95","        396.10","        401.85","        402.40","        404.24","    7851653","          3173984392.80","     122214"
"TATAMOTORS","EQ","09-Dec-2015","        402.40","        402.80","        405.00","        392.75","        394.15","        393.95","        397.46","    6103583","          2425952214.00","     106533"
"TATAMOTORS","EQ","10-Dec-2015","        393.95","        401.20","        401.20","        385.25","        389.00","        389.60","        390.35","   10684178","          4170532645.90","     122282"
"TATAMOTORS","EQ","11-Dec-2015","        389.60","        390.90","        392.65","        375.30","        379.00","        377.95","        383.11","    6537672","          2504674161.30","     100176"
"TATAMOTORS","EQ","14-Dec-2015","        377.95","        369.75","        373.50","        360.50","        372.00","        371.60","        368.30","   12682481","          4670899269.55","     176095"
"TATAMOTORS","EQ","15-Dec-2015","        371.60","        371.25","        380.95","        365.50","        379.10","        379.50","        373.66","    7717531","          2883704753.80","     128713"
"TATAMOTORS","EQ","16-Dec-2015","        379.50","        375.90","        385.00","        372.85","        380.15","        380.45","        380.44","   11874858","          4517691708.70","     154644"
"TATAMOTORS","EQ","17-Dec-2015","        380.45","        385.00","        387.00","        376.05","        382.15","        382.95","        381.47","    7604665","          2900989217.70","     113765"
"TATAMOTORS","EQ","18-Dec-2015","        382.95","        381.90","        384.80","        376.80","        379.00","        378.25","        381.15","    6454322","          2460061168.75","      58746"
"TATAMOTORS","EQ","21-Dec-2015","        378.25","        379.10","        382.55","        377.50","        380.15","        380.15","        379.46","    4015631","          1523780830.85","      86385"
"TATAMOTORS","EQ","22-Dec-2015","        380.15","        380.90","        382.80","        377.20","        377.55","        378.10","        380.16","    3802024","          1445366575.60","      62799"
"TATAMOTORS","EQ","23-Dec-2015","        378.10","        379.90","        380.85","        377.50","        378.70","        378.45","        379.05","    3953766","          1498656678.90","      46213"
"TATAMOTORS","EQ","24-Dec-2015","        378.45","        380.90","        384.75","        377.60","        382.35","        382.40","        382.39","    4568751","          1747067022.75","      46098"
"TATAMOTORS","EQ","28-Dec-2015","        382.40","        384.90","        395.00","        383.75","        394.85","        394.00","        391.54","    7166351","          2805898239.40","      67548"
"TATAMOTORS","EQ","29-Dec-2015","        394.00","        392.90","        397.50","        388.75","        390.70","        391.85","        392.95","    7359611","          2891966153.60","      94528"
"TATAMOTORS","EQ","30-Dec-2015","        391.85","        392.00","        395.00","        390.50","        394.00","        393.45","        393.11","    4866177","          1912943149.50","      64431"
"TATAMOTORS","EQ","31-Dec-2015","        393.45","        394.00","        395.75","        389.15","        391.60","        391.30","        391.85","    6410622","          2511996476.70","      50250"
"TATAMOTORS","EQ","01-Jan-2016","        391.30","        392.50","        403.00","        373.00","        401.80","        401.90","        398.24","    4377363","          1743245783.55","      44132"
"TATAMOTORS","EQ","04-Jan-2016","        401.90","        400.00","        400.10","        375.05","        376.15","        377.05","        383.74","    7822660","          3001899664.45","      98407"
